Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
8192bH*,0.61,0.33,0.45,0.71,0.64,0.00,0.25,0.50,0.48,0.32,0.289430769,b,H,*,Patella,vulgata,shell 
8193bH*,0.60,0.33,0.38,0.82,0.63,#DIV/0!,0.24,0.54,0.48,0.31,0.270169008,b,H,*,Patella,vulgata,shell 
8194bH*,0.60,0.33,0.34,0.78,0.63,#DIV/0!,0.24,0.51,0.49,0.32,0.284825527,b,H,*,Patella,vulgata,shell 
8152bH*,0.59,0.30,0.29,1.02,0.50,#DIV/0!,0.24,0.39,0.37,0.25,0.372224735,b,H,*,Patella,vulgata,shell 
8153bH*,0.57,0.47,0.23,2.10,0.65,0.00,0.35,0.61,0.54,0.36,0.102321563,b,H,*,Patella,ferruginea,shell 
8160bH*,0.18,0.05,0.16,0.28,0.06,0.00,0.02,0.05,0.07,0.03,1.027882154,b,H,*,Patella,ulyssiponensis,shell 
8150bH*,0.59,0.36,0.30,0.73,0.56,0.00,0.24,0.46,0.35,0.27,0.38122004,b,H,*,Patella,ulyssiponensis,shell 
8152bF,0.20,0.30,0.45,1.92,0.21,#DIV/0!,1.44,0.00,0.79,#DIV/0!,2.212753033,b,F,,Patella,vulgata,shell 
8160bF,0.16,0.24,0.48,1.52,0.17,#DIV/0!,0.68,0.00,0.18,0.00,2.047937684,b,F,,Patella,ulyssiponensis,shell 
8185bH*,0.56,0.25,0.25,0.49,0.53,#DIV/0!,0.25,0.43,0.34,0.26,0.491580707,b,H,*,Patella,vulgata,shell 
7498bF,0.64,0.51,0.66,1.27,0.62,0.35,0.47,0.81,0.70,0.72,0.64080525,b,F,,Patella,caerulea,shell
7497bF,0.69,0.68,0.58,1.53,0.75,0.88,0.63,0.95,0.69,0.77,0.372145271,b,F,,Patella,caerulea,shell
7499bF,0.66,0.56,0.84,1.16,0.65,0.51,0.50,0.93,0.57,0.85,0.447480449,b,F,,Patella,caerulea,shell
7504bF,0.63,0.46,0.97,0.00,0.60,#DIV/0!,0.61,0.75,0.58,0.86,0.476323294,b,F,,Patella,caerulea,shell
7505bF,0.64,0.37,0.85,0.00,0.57,0.52,0.44,0.61,0.49,0.53,0.670248569,b,F,,Patella,caerulea,shell
7506bF,0.62,0.44,1.06,0.00,0.63,#DIV/0!,0.58,0.88,0.53,0.81,0.489677132,b,F,,Patella,caerulea,shell
7498bH*,0.25,0.21,0.41,0.00,0.38,0.52,0.28,0.38,0.36,0.38,0.72200034,b,H,*,Patella,caerulea,shell
